location_key,county,city,zip_code,state,fips_code,latitude,longitude
1,Albany,Guilderland,12203.0,NY,36001.0,42.695289,-73.886288
2,Albany,Delmar,12054.0,NY,36001.0,42.619487,-73.810599
3,Albany,Colonie,12211.0,NY,36001.0,42.707775,-73.788589
4,Albany,Latham,12110.0,NY,36001.0,42.731367,-73.750762
5,Albany,New Scotland,12067.0,NY,36001.0,42.539503,-73.94077
6,Albany,Albany,12203.0,NY,36001.0,42.671912,-73.797728
7,Albany,Loudonville,12211.0,NY,36001.0,42.702606,-73.7454
8,Albany,Colonie,12205.0,NY,36001.0,42.692601,-73.807649
9,Albany,Albany,12209.0,NY,36001.0,42.648685,-73.801262
10,Albany,Voorheesville,12186.0,NY,36001.0,42.672143,-73.915077
11,Albany,Slingerlands,12159.0,NY,36001.0,42.663842,-73.832597
12,Albany,Selkirk,12158.0,NY,36001.0,42.544483,-73.772995
13,Albany,Albany,12205.0,NY,36001.0,42.696123,-73.784506
14,Albany,Albany,12208.0,NY,36001.0,42.659883,-73.805727
15,Albany,Guilderland,12084.0,NY,36001.0,42.71206,-73.904899
16,Albany,East Berne,12059.0,NY,36001.0,42.583616,-74.082159
17,Albany,Westerlo,12193.0,NY,36001.0,42.491381,-74.027427
18,Albany,Altamont,12009.0,NY,36001.0,42.668827,-74.071076
19,Albany,Cohoes,12047.0,NY,36001.0,42.769301,-73.74174
20,Albany,Colonie,12047.0,NY,36001.0,42.769301,-73.74174
21,Albany,Schenectady,12303.0,NY,36001.0,42.737735,-73.934106
22,Albany,New Scotland,12159.0,NY,36001.0,42.648531,-73.905969
23,Albany,Ravena,12143.0,NY,36001.0,42.481794,-73.848812
24,Albany,Coeymans Hollow,12046.0,NY,36001.0,42.468742,-73.885106
25,Albany,Glenmont,12077.0,NY,36001.0,42.600709,-73.779312
26,Albany,Greenville,12083.0,NY,36001.0,42.44584,-74.032339
27,Albany,Preston Hollow,12469.0,NY,36001.0,42.411265,-74.251593
28,Albany,Menands,12204.0,NY,36001.0,42.699894,-73.722304
29,Albany,Delanson,12053.0,NY,36001.0,42.726438,-74.11586
30,Albany,Schenectady,12309.0,NY,36001.0,42.767123,-73.856065
31,Albany,Colonie,12110.0,NY,36001.0,42.749775,-73.75139
32,Albany,Watervliet,12189.0,NY,36001.0,42.734072,-73.713479
33,Albany,Albany,12210.0,NY,36001.0,42.657948,-73.762421
34,Albany,Bethlehem,12054.0,NY,36001.0,42.624528,-73.836151
35,Albany,Green Island,12183.0,NY,36001.0,42.74754,-73.692271
36,Albany,Colonie,12309.0,NY,36001.0,42.760221,-73.853458
37,Albany,Middleburgh,12122.0,NY,36001.0,42.520991,-74.21344
38,Albany,Berne,12023.0,NY,36001.0,42.551484,-74.084269
39,Albany,Guilderland,12009.0,NY,36001.0,42.708052,-73.928224
40,Albany,Albany,12204.0,NY,36001.0,42.675423,-73.743271
41,Albany,Rensselaerville,12147.0,NY,36001.0,42.520883,-74.138533
42,Albany,Albany,12202.0,NY,36001.0,42.625825,-73.77259
43,Albany,South Bethlehem,12161.0,NY,36001.0,42.533817,-73.845106
44,Albany,Feura Bush,12067.0,NY,36001.0,42.553907,-73.915799
45,Albany,Albany,12206.0,NY,36001.0,42.660441,-73.769286
46,Albany,Schenectady,12306.0,NY,36001.0,42.754357,-73.956762
47,Albany,Niskayuna,12309.0,NY,36001.0,42.751285,-73.842342
48,Albany,Guilderland,12303.0,NY,36001.0,42.758203,-73.937996
49,Albany,Colonie,12204.0,NY,36001.0,42.697476,-73.730972
